Dag;Pizza;Salad;French;Burger;Hotdog;Soda;Ice Cream;Kebaba;Customer visit;Ukedag
1;1104;606;2072;2043;1836;1033;565;1677;211;Tirsdag
2;1114;607;2146;2053;1824;1027;554;1733;189;Onsdag
3;1123;625;2120;2076;1829;1032;559;1840;211;Torsdag
4;1120;612;2167;2105;1850;1067;557;1911;253;Fredag
5;1143;617;2211;2091;1858;1061;543;1885;305;Lørdag
6;1162;633;2205;2116;1870;1078;545;1884;277;Søndag
7;1175;621;2182;2132;1889;1083;544;1907;242;Mandag
8;1183;620;2229;2141;1888;1055;546;1901;211;Tirsdag
9;1180;629;2200;2159;1909;1070;563;1921;189;Onsdag
10;1193;631;2221;2180;1906;1063;584;1862;211;Torsdag
11;1185;645;2264;2208;1940;1080;573;1845;253;Fredag
12;1172;664;2261;2164;1946;1091;590;1912;305;Lørdag
13;1170;671;2289;2228;1958;1052;573;1912;278;Søndag
14;1165;688;2287;2226;1975;1045;561;1943;242;Mandag
15;1178;679;2282;2261;1976;1054;554;1974;211;Tirsdag
16;1194;679;2300;2231;1978;1069;542;1957;188;Onsdag
17;1179;663;2360;2237;1966;1095;516;1990;211;Torsdag
18;1196;666;2298;2216;1899;1081;531;1982;253;Fredag
19;1192;650;2311;2226;1876;1058;525;1991;305;Lørdag
20;1189;644;2328;2209;1835;1100;545;2018;278;Søndag
21;1201;636;2358;2253;1834;1128;559;2018;242;Mandag
22;1208;646;2393;2201;1827;1132;572;1951;210;Tirsdag
23;1201;637;2420;2223;1845;1137;586;1972;189;Onsdag
24;1203;651;2409;2220;1868;1155;583;1975;211;Torsdag
25;1197;644;2421;2239;1900;1150;596;1960;252;Fredag
26;1191;650;2376;2215;1945;1127;612;1987;305;Lørdag
27;1180;653;2346;2203;2001;1142;613;1966;278;Søndag
28;1171;655;2334;2192;1962;1147;616;1954;242;Mandag
29;1159;648;2356;2227;1974;1161;612;2021;211;Tirsdag
30;1151;661;2274;2227;1893;1130;609;2020;189;Onsdag
31;1150;658;2151;2237;1828;1118;620;2044;211;Torsdag
32;1162;662;2078;2180;1784;1085;599;2049;252;Fredag
33;1186;662;2019;2249;1675;1085;592;2007;304;Lørdag
34;1183;676;1919;2203;1566;1039;585;1976;278;Søndag
35;1177;673;1847;2170;1510;1020;587;1971;242;Mandag
36;1158;684;1723;2160;1432;998;578;1948;211;Tirsdag
37;1174;662;1711;2124;1456;1006;578;1980;189;Onsdag
38;1189;663;1707;2114;1440;1014;580;1952;210;Torsdag
39;1166;666;1680;2151;1400;1054;595;1954;252;Fredag
40;1139;677;1704;2137;1395;1067;583;1960;305;Lørdag
41;1150;662;1696;2176;1376;1074;583;1957;278;Søndag
42;1176;676;1665;2205;1413;1067;586;1921;241;Mandag
43;1193;670;1653;2184;1419;1075;592;1965;211;Tirsdag
44;1183;676;1654;2202;1416;1085;590;1906;189;Onsdag
45;1170;681;1640;2180;1442;1069;571;1903;210;Torsdag
46;1185;686;1666;2172;1470;1089;577;1932;253;Fredag
47;1198;682;1654;2205;1448;1084;581;1888;303;Lørdag
48;1211;674;1671;2136;1491;1093;572;1923;277;Søndag
49;1182;667;1709;2114;1453;1090;558;1961;241;Mandag
50;1191;677;1770;2120;1442;1078;553;1912;211;Tirsdag
51;1187;673;1765;2169;1463;1077;548;1918;188;Onsdag
52;1184;678;1780;2171;1438;1069;569;1923;211;Torsdag
53;1184;659;1756;2170;1432;1039;554;1872;253;Fredag
54;1196;653;1744;2154;1468;1072;567;1828;305;Lørdag
55;1189;661;1673;2278;1377;1057;579;1814;277;Søndag
56;1192;662;1567;2294;1340;1080;581;1816;241;Mandag
57;1187;661;1515;2270;1334;1090;585;1821;210;Tirsdag
58;1214;662;1466;2203;1286;1059;593;1854;188;Onsdag
59;1224;655;1442;2208;1266;1057;586;1858;211;Torsdag
60;1214;680;1420;2154;1199;1046;587;1890;253;Fredag
61;1210;693;1350;2157;1127;1030;581;1999;304;Lørdag
62;1183;714;1344;2092;1154;1055;583;1996;278;Søndag
63;1198;722;1353;2099;1131;1050;585;2021;242;Mandag
64;1194;722;1323;2100;1091;1077;579;2025;211;Tirsdag
65;1185;729;1329;2141;1083;1112;585;2030;189;Onsdag
66;1188;714;1343;2132;1050;1113;575;2045;211;Torsdag
67;1201;694;1329;2171;1060;1122;576;2002;252;Fredag
68;1177;714;1350;2154;1059;1153;567;1943;305;Lørdag
69;1211;739;1330;2165;1029;1157;551;1963;278;Søndag
70;1209;757;1344;2149;1060;1131;550;1952;242;Mandag
71;1211;771;1318;2193;1042;1096;569;1953;210;Tirsdag
72;1206;813;1353;2192;1046;1089;553;1939;189;Onsdag
73;1207;843;1326;2250;1049;1098;564;1907;209;Torsdag
74;1198;883;1314;2248;1036;1108;580;1912;253;Fredag
75;1232;884;1293;2257;1019;1069;588;1901;304;Lørdag
76;1202;863;1321;2206;1048;1073;589;1900;277;Søndag
77;1204;867;1334;2212;1020;1087;588;1891;242;Mandag
78;1232;866;1367;2173;1040;1097;579;1934;211;Tirsdag
79;1223;851;1337;2152;1035;1113;582;1921;187;Onsdag
80;1207;853;1335;2120;1041;1142;579;1943;211;Torsdag
81;1208;851;1334;2122;1045;1132;565;1923;253;Fredag
82;1198;856;1329;2111;1042;1143;562;1957;304;Lørdag
83;1179;872;1338;2199;1039;1107;577;1979;277;Søndag
84;1181;875;1313;2204;1063;1105;574;2010;242;Mandag
